League,Date,Team,Opponent,Location,PTS,MIN,FGM-A,FG%,3PM-A,3P%,FTM-A,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,Points off Turnovers,2nd Chance Points,Points in the Paint,Fastbreak Points,Bench Points,Conference
MBB,2023-11-11,WashU,Swarthmore,Home,76,200,31-54,57.407407407407405,4-18,22.22222222222222,10-12,83.33333333333333,7,29,36,14,7,7,14,9,15,4,50,14,12,False
MBB,2023-11-12,Carnegie Mellon,Whitman,Away,86,200,35-67,52.23880597014925,4-16,25.0,12-17,70.58823529411765,6,25,31,13,8,4,9,17,11,8,48,16,9,False
MBB,2023-11-12,Chicago,IIT,Home,80,200,29-53,54.71698113207548,10-23,43.47826086956522,12-20,60.0,9,23,32,15,6,4,13,12,16,9,28,8,26,False
MBB,2023-11-12,Emory,Piedmont,Away,91,200,30-73,41.0958904109589,13-38,34.21052631578947,18-32,56.25,23,33,56,21,8,3,16,20,15,13,30,20,18,False
MBB,2023-11-12,IIT,Chicago,Away,71,200,29-60,48.333333333333336,7-21,33.333333333333336,6-8,75.0,9,19,28,6,6,2,12,17,16,9,32,14,32,False
MBB,2023-11-12,Johns Hopkins,WashU,Away,61,200,26-65,40.0,7-28,25.0,2-6,33.333333333333336,16,27,43,14,4,5,14,12,12,21,34,2,15,False
MBB,2023-11-12,NYU,Swarthmore,Home,70,200,26-58,44.82758620689656,12-21,57.142857142857146,6-9,66.66666666666667,8,26,34,13,2,6,12,11,6,9,28,10,17,False
MBB,2023-11-12,Piedmont,Emory,Home,83,200,25-72,34.72222222222222,10-26,38.46153846153846,23-31,74.19354838709677,20,27,47,13,10,1,12,24,17,11,26,16,28,False
MBB,2023-11-12,Swarthmore,NYU,Away,71,200,29-69,42.028985507246375,8-25,32.0,5-9,55.55555555555556,17,27,44,13,4,3,11,13,17,15,28,5,23,False
MBB,2023-11-12,WashU,Johns Hopkins,Home,67,200,24-58,41.37931034482759,9-23,39.130434782608695,10-16,62.5,12,25,37,12,11,3,10,12,13,10,28,13,18,False
MBB,2023-11-12,Whitman,Carnegie Mellon,Home,75,200,27-69,39.130434782608695,6-27,22.22222222222222,15-15,100.0,12,24,36,13,4,3,16,16,11,10,40,10,14,False
MBB,2023-11-15,Case Western,La Roche,Away,78,200,28-73,38.35616438356164,11-31,35.483870967741936,11-14,78.57142857142857,22,29,51,16,6,5,9,16,10,18,30,13,28,False
MBB,2023-11-15,Chicago,Edgewood,Away,89,200,35-58,60.3448275862069,13-22,59.09090909090909,6-11,54.54545454545455,7,29,36,17,4,3,10,11,23,3,38,10,40,False
MBB,2023-11-15,Edgewood,Chicago,Home,52,200,18-55,32.72727272727273,5-19,26.31578947368421,11-15,73.33333333333333,9,19,28,10,7,4,12,14,9,8,20,2,20,False
MBB,2023-11-15,La Roche,Case Western,Home,58,200,21-63,33.333333333333336,7-27,25.925925925925927,9-14,64.28571428571429,9,20,29,8,4,3,8,12,7,9,18,4,21,False
MBB,2023-11-16,Nazareth,Rochester,Away,66,200,27-65,41.53846153846154,6-20,30.0,6-8,75.0,10,22,32,8,6,3,10,16,10,5,36,8,20,False
MBB,2023-11-16,Rochester,Nazareth,Home,83,200,29-52,55.76923076923077,9-17,52.94117647058823,16-23,69.56521739130434,7,25,32,17,4,7,11,10,10,11,32,8,22,False
MBB,2023-11-17,Babson,WashU,Away,85,225,33-73,45.2054794520548,10-28,35.714285714285715,9-12,75.0,8,25,33,15,6,3,8,24,15,7,34,13,11,False
MBB,2023-11-17,WashU,Babson,Home,90,225,31-71,43.66197183098591,4-19,21.05263157894737,24-38,63.1578947368421,20,31,51,13,4,1,12,12,9,23,50,8,8,False
MBB,2023-11-18,Brandeis,Rivier,Away,56,200,20-56,35.714285714285715,5-19,26.31578947368421,11-14,78.57142857142857,12,20,32,6,7,4,21,17,16,11,28,10,20,False
MBB,2023-11-18,Carnegie Mellon,Penn St.-Behrend,Away,77,200,26-53,49.0566037735849,7-23,30.43478260869565,18-22,81.81818181818181,11,30,41,8,1,4,17,23,7,16,36,0,20,False
MBB,2023-11-18,Case Western,Denison,Away,80,225,26-55,47.27272727272727,6-25,24.0,22-30,73.33333333333333,10,31,41,8,3,5,16,23,8,11,38,8,13,False
MBB,2023-11-18,Chicago,Lake Forest,Away,75,200,31-69,44.927536231884055,5-26,19.23076923076923,8-10,80.0,11,21,32,6,6,1,8,18,12,13,30,4,22,False
MBB,2023-11-18,Denison,Case Western,Home,74,225,26-64,40.625,9-29,31.03448275862069,13-26,50.0,13,24,37,17,10,0,9,23,15,11,30,11,24,False
MBB,2023-11-18,Emory,Guilford,Away,80,225,26-64,40.625,10-34,29.41176470588235,18-26,69.23076923076923,12,26,38,16,14,1,20,21,25,13,28,18,15,False
MBB,2023-11-18,Guilford,Emory,Home,83,225,25-54,46.2962962962963,9-21,42.85714285714285,24-29,82.75862068965517,4,28,32,15,12,1,19,23,20,4,20,4,13,False
MBB,2023-11-18,Hanover,WashU,Away,62,200,22-63,34.92063492063492,9-32,28.125,9-12,75.0,7,21,28,10,1,0,7,16,8,14,24,3,20,False
MBB,2023-11-18,Lake Forest,Chicago,Home,89,200,32-55,58.18181818181818,8-19,42.10526315789474,17-25,68.0,8,24,32,14,5,0,13,16,12,9,26,14,7,False
MBB,2023-11-18,NYU,Yeshiva,Away,97,200,39-66,59.09090909090909,16-27,59.25925925925926,3-4,75.0,9,30,39,23,9,2,16,16,26,14,36,9,16,False
MBB,2023-11-18,Penn St.-Behrend,Carnegie Mellon,Home,87,200,28-60,46.66666666666666,10-30,33.333333333333336,21-27,77.77777777777777,8,18,26,13,8,1,5,15,18,16,34,6,15,False
MBB,2023-11-18,Rivier,Brandeis,Home,73,200,26-58,44.82758620689656,10-22,45.45454545454545,11-14,78.57142857142857,8,21,29,17,14,3,17,16,17,8,24,12,14,False
MBB,2023-11-18,Rochester,St. John Fisher,Away,73,200,21-59,35.59322033898305,8-30,26.666666666666668,23-35,65.71428571428571,12,26,38,12,9,4,14,20,19,13,18,2,14,False
MBB,2023-11-18,St. John Fisher,Rochester,Home,81,200,29-62,46.774193548387096,6-15,40.0,17-30,56.66666666666666,14,32,46,18,6,4,18,22,9,18,34,8,17,False
MBB,2023-11-18,WashU,Hanover,Home,77,200,33-65,50.76923076923077,5-17,29.41176470588235,6-10,60.0,12,31,43,13,4,3,8,14,9,16,52,6,25,False
MBB,2023-11-18,Yeshiva,NYU,Home,78,200,28-61,45.90163934426229,11-32,34.375,11-16,68.75,7,19,26,13,10,6,14,9,11,9,28,11,21,False
MBB,2023-11-20,Carnegie Mellon,Wash. & Jeff.,Away,95,200,32-67,47.76119402985075,9-21,42.85714285714285,22-27,81.48148148148148,9,34,43,14,6,4,16,18,15,5,34,19,21,False
MBB,2023-11-20,Wash. & Jeff.,Carnegie Mellon,Home,88,200,31-76,40.78947368421053,6-26,23.07692307692308,20-27,74.07407407407408,13,29,42,15,10,6,10,21,17,12,48,19,16,False
MBB,2023-11-21,Birmingham-So.,Emory,Home,70,200,23-67,34.32835820895522,8-23,34.78260869565217,16-29,55.172413793103445,18,24,42,7,4,3,16,15,4,11,28,6,39,False
MBB,2023-11-21,Emory,Birmingham-So.,Away,99,200,38-73,52.05479452054794,11-32,34.375,12-17,70.58823529411765,13,33,46,21,9,5,10,17,22,16,52,17,38,False
MBB,2023-11-21,Hobart,Rochester,Away,78,200,23-58,39.6551724137931,6-18,33.333333333333336,26-32,81.25,13,31,44,8,10,4,15,20,14,11,30,4,25,False
MBB,2023-11-21,Rochester,Hobart,Home,70,200,26-65,40.0,5-16,31.25,13-20,65.0,12,26,38,9,8,7,15,22,13,5,38,14,21,False
MBB,2023-11-22,Babson,Brandeis,Home,78,200,28-67,41.791044776119406,8-24,33.333333333333336,14-23,60.869565217391305,15,32,47,10,13,4,9,21,15,16,38,13,6,False
MBB,2023-11-22,Brandeis,Babson,Away,65,200,19-55,34.54545454545455,8-22,36.36363636363637,19-25,76.0,7,28,35,12,5,1,14,21,4,4,18,8,22,False
MBB,2023-11-22,Caltech,NYU,Home,69,200,27-52,51.92307692307692,10-18,55.55555555555556,5-8,62.5,5,24,29,7,5,1,20,16,14,3,0,0,32,False
MBB,2023-11-22,Ill. Wesleyan,WashU,Away,76,200,31-64,48.4375,8-19,42.10526315789474,6-8,75.0,11,22,33,16,9,2,11,20,14,16,42,0,36,False
MBB,2023-11-22,NYU,Caltech,Away,78,200,31-60,51.66666666666666,4-21,19.047619047619047,12-16,75.0,8,17,25,13,9,0,8,10,24,12,0,0,27,False
MBB,2023-11-22,WashU,Ill. Wesleyan,Home,50,200,14-55,25.454545454545453,5-23,21.73913043478261,17-25,68.0,15,19,34,6,5,3,14,11,8,18,16,4,25,False
MBB,2023-11-25,Chicago,Ill. Wesleyan,Away,69,200,25-56,44.642857142857146,11-27,40.74074074074074,8-10,80.0,7,23,30,12,4,6,10,11,11,8,26,2,19,False
MBB,2023-11-25,Ill. Wesleyan,Chicago,Home,75,200,27-55,49.09090909090909,7-16,43.75,14-16,87.5,6,25,31,19,7,3,9,13,9,5,32,17,18,False
MBB,2023-11-25,NYU,Redlands,Away,82,200,29-58,50.0,3-18,16.666666666666668,21-27,77.77777777777777,8,31,39,18,8,2,20,24,19,5,48,19,26,False
MBB,2023-11-25,Redlands,NYU,Home,79,200,27-75,36.0,13-36,36.11111111111112,12-26,46.15384615384615,13,21,34,11,12,2,16,21,12,10,24,7,24,False
MBB,2023-11-26,Berry,Emory,Home,72,200,28-63,44.44444444444444,9-30,30.0,7-9,77.77777777777777,8,18,26,11,4,1,13,9,10,12,30,3,9,False
MBB,2023-11-26,Brandeis,Rhode Island College,Away,66,200,21-52,40.38461538461539,11-25,44.0,13-18,72.22222222222223,6,25,31,12,9,4,13,14,16,7,0,0,23,False
MBB,2023-11-26,Carnegie Mellon,Denison,Home,71,200,24-59,40.67796610169491,5-14,35.714285714285715,18-28,64.28571428571429,14,37,51,11,7,4,10,15,10,13,34,9,17,False
MBB,2023-11-26,Denison,Carnegie Mellon,Away,61,200,23-67,34.32835820895522,8-31,25.806451612903224,7-18,38.888888888888886,13,27,40,13,4,6,10,22,13,19,30,2,19,False
MBB,2023-11-26,Emory,Berry,Away,90,200,38-72,52.77777777777778,11-27,40.74074074074074,3-3,100.0,9,24,33,25,9,3,6,12,10,9,50,18,17,False
MBB,2023-11-26,Rhode Island College,Brandeis,Home,51,200,18-53,33.9622641509434,3-16,18.75,12-18,66.66666666666667,12,26,38,11,8,3,17,20,6,6,0,0,16,False
MBB,2023-11-26,Rhodes,WashU,Home,74,200,29-59,49.15254237288136,5-16,31.25,11-15,73.33333333333333,8,20,28,11,4,3,9,15,13,12,34,6,32,False
MBB,2023-11-26,WashU,Rhodes,Away,78,200,28-51,54.90196078431372,10-25,40.0,12-15,80.0,5,21,26,14,6,2,12,16,14,4,34,12,28,False
MBB,2023-11-28,Brandeis,Plymouth St.,Home,83,200,31-55,56.36363636363637,7-21,33.333333333333336,14-16,87.5,11,24,35,13,13,0,19,13,73,17,36,0,32,False
MBB,2023-11-28,Carnegie Mellon,St. John Fisher,Home,103,200,36-73,49.31506849315068,14-32,43.75,17-20,85.0,8,36,44,23,10,6,15,12,8,8,36,14,40,False
MBB,2023-11-28,Emory,Sewanee,Home,109,200,39-85,45.88235294117647,13-36,36.11111111111112,18-26,69.23076923076923,21,33,54,31,14,6,8,17,22,23,48,14,40,False
MBB,2023-11-28,Plymouth St.,Brandeis,Away,48,200,15-47,31.91489361702128,5-12,41.66666666666666,13-17,76.47058823529412,11,14,25,9,15,1,25,18,33,7,14,0,20,False
MBB,2023-11-28,Sewanee,Emory,Away,72,200,26-63,41.26984126984127,5-27,18.51851851851852,15-20,75.0,7,26,33,20,4,3,17,18,2,8,42,2,24,False
MBB,2023-11-28,St. John Fisher,Carnegie Mellon,Away,92,200,38-80,47.5,8-19,42.10526315789474,8-13,61.53846153846154,8,32,40,14,8,2,12,18,22,10,58,13,36,False
MBB,2023-11-28,WashU,Webster,Home,88,200,36-62,58.064516129032256,11-25,44.0,5-8,62.5,12,37,49,11,7,8,17,7,9,16,50,12,33,False
MBB,2023-11-28,Webster,WashU,Away,59,200,27-77,35.064935064935064,4-10,40.0,1-4,25.0,15,15,30,9,8,4,8,12,17,12,32,7,26,False
MBB,2023-11-29,Capital,Case Western,Away,87,200,32-71,45.070422535211264,7-26,26.923076923076923,16-25,64.0,18,27,45,18,3,2,10,18,9,27,40,9,22,False
MBB,2023-11-29,Case Western,Capital,Home,94,200,28-63,44.44444444444444,13-33,39.39393939393939,25-30,83.33333333333333,11,28,39,19,5,5,8,19,16,11,26,9,42,False
MBB,2023-11-29,Chicago,Kalamazoo,Away,67,200,25-58,43.10344827586207,8-26,30.76923076923077,9-13,69.23076923076923,8,29,37,13,10,0,13,14,17,7,28,10,7,False
MBB,2023-11-29,Kalamazoo,Chicago,Home,63,200,25-57,43.85964912280702,7-23,30.43478260869565,6-11,54.54545454545455,5,29,34,9,5,0,15,17,8,2,26,0,20,False
MBB,2023-12-01,Bates,Brandeis,Away,58,200,20-52,38.46153846153846,8-23,34.78260869565217,10-14,71.42857142857143,9,22,31,11,8,0,16,10,16,8,20,0,13,False
MBB,2023-12-01,Brandeis,Bates,Home,68,200,28-53,52.83018867924528,6-15,40.0,6-8,75.0,4,24,28,16,14,2,14,10,19,7,24,0,18,False
MBB,2023-12-01,Colby,Emory,Away,57,199,18-58,31.03448275862069,9-28,32.142857142857146,12-25,48.0,12,28,40,7,10,1,19,13,10,7,16,0,14,False
MBB,2023-12-01,Emory,Colby,Home,87,198,32-69,46.3768115942029,12-28,42.85714285714285,11-16,68.75,13,36,49,16,9,3,18,18,21,10,34,0,25,False
MBB,2023-12-02,Bates,Emory,Home,77,200,26-70,37.142857142857146,9-31,29.032258064516128,16-18,88.88888888888889,13,29,42,15,4,4,9,18,8,22,26,0,25,False
MBB,2023-12-02,Bowdoin,Chicago,Home,61,200,25-54,46.2962962962963,7-18,38.888888888888886,4-8,50.0,3,27,30,13,5,3,17,15,13,2,34,7,32,False
MBB,2023-12-02,Brandeis,Colby,Home,77,199,31-70,44.285714285714285,8-18,44.44444444444444,7-10,70.0,15,26,41,17,11,3,8,15,25,22,32,0,23,False
MBB,2023-12-02,Carnegie Mellon,Hamilton,Away,87,200,27-57,47.36842105263158,10-18,55.55555555555556,23-27,85.18518518518519,9,30,39,12,10,2,13,14,19,10,26,16,26,False
MBB,2023-12-02,Case Western,Kalamazoo,Home,100,200,38-67,56.71641791044776,16-33,48.48484848484848,8-9,88.88888888888889,12,24,36,23,6,9,8,8,14,17,44,4,35,False
MBB,2023-12-02,Chicago,Bowdoin,Away,73,200,26-62,41.935483870967744,10-31,32.25806451612903,11-14,78.57142857142857,7,25,32,11,12,3,10,9,27,10,28,15,15,False
MBB,2023-12-02,Colby,Brandeis,Away,57,200,23-51,45.09803921568628,6-18,33.333333333333336,5-11,45.45454545454545,6,25,31,14,4,2,16,9,6,5,24,0,19,False
MBB,2023-12-02,Connecticut Col.,NYU,Home,73,200,27-54,50.0,9-18,50.0,10-13,76.92307692307692,6,13,19,14,5,0,11,14,17,2,34,2,13,False
MBB,2023-12-02,Emory,Bates,Away,88,200,30-75,40.0,12-30,40.0,16-19,84.21052631578948,16,31,47,20,4,4,10,13,12,22,24,0,8,False
MBB,2023-12-02,Hamilton,Carnegie Mellon,Home,73,200,28-66,42.42424242424242,8-31,25.806451612903224,9-13,69.23076923076923,8,24,32,14,10,8,12,23,12,6,32,5,11,False
MBB,2023-12-02,Kalamazoo,Case Western,Away,73,200,27-65,41.53846153846154,11-26,42.30769230769231,8-11,72.72727272727273,14,17,31,14,5,2,10,12,4,13,32,2,18,False
MBB,2023-12-02,Middlebury,Rochester,Home,58,200,26-60,43.333333333333336,3-15,20.0,3-6,50.0,7,23,30,7,5,1,16,21,6,6,38,2,24,False
MBB,2023-12-02,Millikin,WashU,Home,47,200,18-55,32.72727272727273,2-19,10.526315789473683,9-13,69.23076923076923,10,21,31,7,10,3,16,13,6,7,24,7,17,False
MBB,2023-12-02,NYU,Connecticut Col.,Away,78,200,28-47,59.57446808510638,14-26,53.84615384615385,8-13,61.53846153846154,8,22,30,21,2,2,15,11,13,10,20,2,22,False
MBB,2023-12-02,Rochester,Middlebury,Away,72,200,25-55,45.45454545454545,3-16,18.75,19-23,82.6086956521739,8,29,37,9,10,4,12,9,18,10,40,13,22,False
MBB,2023-12-02,WashU,Millikin,Away,63,200,21-45,46.66666666666666,9-17,52.94117647058823,12-16,75.0,5,30,35,13,4,3,18,13,12,1,22,16,13,False
MBB,2023-12-03,Bowdoin,Carnegie Mellon,Home,66,200,26-54,48.14814814814815,7-18,38.888888888888886,7-16,43.75,9,31,40,15,6,6,18,13,19,15,32,5,24,False
MBB,2023-12-03,Carnegie Mellon,Bowdoin,Away,62,200,21-62,33.87096774193548,8-20,40.0,12-15,80.0,11,23,34,10,8,3,14,15,5,10,24,7,12,False
MBB,2023-12-03,Chicago,Middlebury,Away,88,200,32-65,49.23076923076923,14-31,45.16129032258065,10-10,100.0,8,28,36,18,7,6,8,10,7,12,30,5,19,False
MBB,2023-12-03,Hamilton,Rochester,Home,60,200,25-65,38.46153846153846,4-23,17.391304347826086,6-13,46.15384615384615,14,21,35,9,6,7,12,21,13,13,36,2,10,False
MBB,2023-12-03,Middlebury,Chicago,Home,64,200,25-66,37.87878787878788,8-23,34.78260869565217,6-6,100.0,10,23,33,12,3,2,8,13,10,10,22,10,26,False
MBB,2023-12-03,Rochester,Hamilton,Away,82,200,30-58,51.72413793103448,4-17,23.529411764705884,18-23,78.26086956521739,11,29,40,11,10,4,11,16,18,15,46,11,43,False
MBB,2023-12-06,Ithaca,Rochester,Home,86,200,33-67,49.25373134328358,8-26,30.76923076923077,12-14,85.71428571428571,15,29,44,18,12,4,17,12,16,16,48,14,40,False
MBB,2023-12-06,Rochester,Ithaca,Away,70,200,29-70,41.42857142857143,7-24,29.166666666666668,5-8,62.5,14,21,35,13,8,6,16,15,15,20,40,13,28,False
MBB,2023-12-07,Brandeis,Lasell,Home,62,200,20-51,39.21568627450981,4-15,26.666666666666668,18-23,78.26086956521739,7,27,34,11,7,3,14,15,17,6,24,0,21,False
MBB,2023-12-07,Lasell,Brandeis,Away,57,200,20-53,37.735849056603776,4-17,23.529411764705884,13-14,92.85714285714286,7,26,33,8,8,2,18,18,15,13,26,0,4,False
MBB,2023-12-09,Adrian,Case Western,Home,65,200,27-57,47.36842105263158,4-16,25.0,7-9,77.77777777777777,2,24,26,6,4,7,11,21,12,0,38,0,20,False
MBB,2023-12-09,Brandeis,Salem St.,Away,74,200,27-63,42.85714285714285,10-25,40.0,10-13,76.92307692307692,20,24,44,22,9,2,12,14,16,11,26,4,9,False
MBB,2023-12-09,Brooklyn,NYU,Away,66,200,25-63,39.68253968253968,5-15,33.333333333333336,11-20,55.0,7,24,31,11,9,1,15,12,12,2,32,6,46,False
MBB,2023-12-09,Case Western,Adrian,Away,83,200,30-64,46.875,9-28,32.142857142857146,14-22,63.63636363636363,12,28,40,12,6,3,7,11,10,15,38,1,37,False
MBB,2023-12-09,NYU,Brooklyn,Home,111,200,42-79,53.16455696202532,24-46,52.17391304347826,3-3,100.0,11,37,48,34,12,5,12,19,21,18,34,24,49,False
MBB,2023-12-09,Salem St.,Brandeis,Home,55,200,20-48,41.66666666666666,5-18,27.77777777777778,10-13,76.92307692307692,5,17,22,6,5,7,12,11,8,5,22,4,18,False
MBB,2023-12-11,Case Western,Hiram,Away,104,200,36-62,58.064516129032256,11-25,44.0,21-29,72.41379310344827,12,23,35,24,7,2,13,17,14,21,40,11,43,False
MBB,2023-12-11,Hiram,Case Western,Home,95,200,38-75,50.66666666666666,9-30,30.0,10-13,76.92307692307692,15,19,34,19,8,3,10,22,21,14,50,9,29,False
MBB,2023-12-12,Rochester,York (PA),Home,73,200,27-63,42.85714285714285,4-13,30.76923076923077,15-25,60.0,17,35,52,7,8,7,21,14,14,15,42,17,17,False
MBB,2023-12-12,York (PA),Rochester,Away,66,200,25-66,37.87878787878788,10-29,34.48275862068966,6-9,66.66666666666667,6,24,30,9,12,9,12,18,20,5,26,8,11,False
MBB,2023-12-14,Emory,Oglethorpe,Away,98,200,34-72,47.22222222222222,15-35,42.85714285714285,15-22,68.18181818181819,17,23,40,21,10,5,10,22,17,24,0,0,25,False
MBB,2023-12-14,Oglethorpe,Emory,Home,78,200,24-61,39.34426229508197,4-19,21.05263157894737,26-36,72.22222222222223,19,24,43,12,4,3,15,20,11,13,0,0,35,False
MBB,2023-12-16,Chicago,Wheaton (IL),Home,59,200,23-60,38.333333333333336,9-24,37.5,4-7,57.142857142857146,11,31,42,7,2,4,11,13,5,12,20,8,18,False
MBB,2023-12-16,Delaware Valley,NYU,Away,56,200,19-66,28.78787878787879,10-28,35.714285714285715,8-9,88.88888888888889,18,20,38,14,7,2,19,12,4,13,18,3,28,False
MBB,2023-12-16,Fontbonne,WashU,Away,75,200,29-52,55.76923076923077,8-19,42.10526315789474,9-11,81.81818181818181,3,18,21,14,5,0,20,18,10,4,34,7,32,False
MBB,2023-12-16,NYU,Delaware Valley,Home,98,200,35-69,50.72463768115942,16-32,50.0,12-16,75.0,16,30,46,23,12,5,10,13,20,10,38,21,44,False
MBB,2023-12-16,WashU,Fontbonne,Home,96,200,33-60,55.0,11-27,40.74074074074074,19-27,70.37037037037037,11,19,30,19,15,0,11,10,32,17,44,21,40,False
MBB,2023-12-16,Wheaton (IL),Chicago,Away,52,200,19-60,31.666666666666668,4-19,21.05263157894737,10-16,62.5,11,29,40,8,6,3,7,11,7,6,26,14,21,False
MBB,2023-12-17,Case Western,Earlham,Away,82,200,27-60,45.0,12-29,41.37931034482759,16-20,80.0,15,23,38,15,7,6,9,11,8,14,30,8,23,False
MBB,2023-12-17,Earlham,Case Western,Home,70,200,28-57,49.12280701754386,7-18,38.888888888888886,7-9,77.77777777777777,6,20,26,8,6,0,9,15,5,8,30,3,15,False
MBB,2023-12-17,Principia,WashU,Away,56,200,21-48,43.75,9-25,36.0,5-7,71.42857142857143,3,16,19,11,3,1,13,6,9,3,20,2,5,False
MBB,2023-12-17,WashU,Principia,Home,90,200,37-77,48.05194805194805,14-42,33.333333333333336,2-2,100.0,22,23,45,19,8,1,6,6,22,27,44,11,55,False
MBB,2023-12-19,Carnegie Mellon,Chatham,Home,77,200,31-67,46.26865671641791,4-16,25.0,11-17,64.70588235294117,11,39,50,14,6,6,13,13,13,12,48,12,30,False
MBB,2023-12-19,Chatham,Carnegie Mellon,Away,62,200,24-78,30.76923076923077,6-31,19.35483870967742,8-12,66.66666666666667,16,28,44,12,7,2,8,15,10,15,36,6,23,False
MBB,2023-12-19,Chicago,Southwestern (TX),Away,70,200,26-59,44.067796610169495,14-34,41.1764705882353,4-11,36.36363636363637,8,31,39,14,9,2,9,19,14,7,20,15,29,False
MBB,2023-12-19,Southwestern (TX),Chicago,Home,45,200,16-56,28.571428571428573,1-14,7.142857142857143,12-24,50.0,14,27,41,1,4,1,13,18,5,10,20,4,13,False
MBB,2023-12-21,Chicago,Trinity (TX),Away,63,200,21-62,33.87096774193548,13-40,32.5,8-10,80.0,11,25,36,13,6,5,17,11,18,14,12,3,17,False
MBB,2023-12-21,Trinity (TX),Chicago,Home,82,200,31-64,48.4375,7-13,53.84615384615385,13-17,76.47058823529412,10,29,39,17,7,1,10,11,32,16,44,20,30,False
MBB,2023-12-28,Case Western,Oswego St.,Home,87,200,34-63,53.96825396825397,11-33,33.333333333333336,8-13,61.53846153846154,7,31,38,19,2,7,15,17,7,10,42,15,27,False
MBB,2023-12-28,Oswego St.,Case Western,Away,74,200,28-69,40.57971014492754,3-15,20.0,15-21,71.42857142857143,13,23,36,11,6,2,9,9,13,16,48,12,7,False
MBB,2023-12-29,Brandeis,Middlebury,Home,65,200,22-63,34.92063492063492,3-23,13.043478260869565,18-25,72.0,13,18,31,8,16,0,8,14,25,11,26,0,16,False
MBB,2023-12-29,Case Western,Clark (MA),Away,98,200,35-57,61.40350877192982,11-25,44.0,17-20,85.0,8,30,38,19,5,7,14,13,7,9,38,11,21,False
MBB,2023-12-29,Clark (MA),Case Western,Home,87,200,33-72,45.833333333333336,10-26,38.46153846153846,11-19,57.89473684210526,13,15,28,18,10,1,5,18,23,5,38,21,28,False
MBB,2023-12-29,Emory,Mary Washington,Home,61,200,20-53,37.735849056603776,7-23,30.43478260869565,14-25,56.0,5,33,38,15,8,8,11,15,13,4,22,11,4,False
MBB,2023-12-29,Mary Washington,Emory,Away,55,200,22-66,33.333333333333336,3-17,17.647058823529413,8-12,66.66666666666667,13,38,51,12,8,4,14,21,13,6,30,1,17,False
MBB,2023-12-29,Middlebury,Brandeis,Away,60,200,19-49,38.775510204081634,8-19,42.10526315789474,14-16,87.5,11,29,40,9,5,2,23,17,12,12,16,0,18,False
MBB,2023-12-29,NYU,SUNY Canton,Home,96,200,34-76,44.73684210526316,17-41,41.46341463414634,11-14,78.57142857142857,21,33,54,22,18,4,13,14,35,17,34,25,50,False
MBB,2023-12-29,SUNY Canton,NYU,Away,48,200,16-57,28.07017543859649,10-30,33.333333333333336,6-10,60.0,9,23,32,13,11,1,24,13,13,6,12,1,31,False
MBB,2023-12-30,Emory,George Fox,Home,82,200,29-80,36.25,7-29,24.13793103448276,17-24,70.83333333333333,21,37,58,15,7,7,17,23,16,23,42,14,19,False
MBB,2023-12-30,George Fox,Emory,Away,85,200,26-73,35.61643835616438,8-24,33.333333333333336,25-35,71.42857142857143,15,32,47,11,11,3,11,22,19,10,34,16,30,False
MBB,2023-12-30,NYU,SUNY Oneonta,Home,80,200,32-63,50.79365079365079,10-31,32.25806451612903,6-11,54.54545454545455,4,33,37,28,4,8,6,12,8,6,42,19,20,False
MBB,2023-12-30,SUNY Oneonta,NYU,Away,64,200,24-72,33.333333333333336,4-20,20.0,12-14,85.71428571428571,16,28,44,15,2,5,6,12,11,13,32,17,26,False
MBB,2023-12-30,Wabash,WashU,Away,64,200,24-60,40.0,10-30,33.333333333333336,6-8,75.0,7,23,30,8,5,2,9,14,10,3,28,7,27,False
MBB,2023-12-30,WashU,Wabash,Home,72,200,28-57,49.12280701754386,3-10,30.0,13-20,65.0,10,30,40,9,6,2,8,14,12,12,48,6,9,False
MBB,2023-12-31,RIT,Rochester,Home,68,200,26-64,40.625,3-19,15.789473684210526,13-16,81.25,9,30,39,11,4,0,12,13,8,11,38,17,36,False
MBB,2023-12-31,Rochester,RIT,Away,78,200,32-71,45.070422535211264,5-21,23.80952380952381,9-15,60.0,14,31,45,16,8,7,11,14,15,19,46,21,28,False
